# P1 分层抽样候选（stratum	id	term	type	freq	cluster	cls	cls_rep	sources	rep	n_clusters	verdict	reason）
mid	3278	tutorial	kw	65	303	TP	0.246	B	0.077	41		
mid	1701	TB5	cls	63	259	TB5	1.000	C	0.222	36		
mid	3624	blue	kw	62	175	F	0.177	B	0.065	41		
mid	3625	point	kw	61	152	O	0.393	B	0.066	43		
mid	1789	焦虑	kw	60	262	B	0.367	A	0.217	27		
mid	3626	country	kw	60	25	K	0.150	B	0.067	37		
mid	2739	developmental	kw	59	50	Q	0.339	B	0.119	36		
mid	2984	memoir	kw	58	345	K	0.500	B	0.103	34		
mid	3297	synthetic	kw	57	321	Q	0.351	B	0.088	36		
mid	4100	recovery	kw	56	3	X	0.250	B	0.054	40		
mid	1706	TG7	cls	56	375	TG7	1.000	C	0.250	15		
mid	3630	forces	kw	55	236	O	0.273	B	0.073	33		
mid	2493	aristotle	kw	55	313	B	0.691	B	0.145	30		
mid	2755	ecosystems	kw	54	351	Q	0.426	B	0.130	29		
mid	1291	banks	kw	54	346	F	0.889	B	0.389	12		
mid	1895	interest	kw	54	80	F	0.833	B	0.222	26		
mid	3635	semantics	kw	53	290	TP	0.434	B	0.075	31		
mid	1387	TF1	cls	53	331	TF1	1.000	C	0.358	22		
mid	1793	hong	kw	49	301	D	0.224	B	0.265	23		
mid	3010	minds	kw	49	43	B	0.224	B	0.122	28		
mid	1210	的女人	kw	49	49	I	0.612	A	0.469	7		
mid	2000	company	kw	49	129	F	0.612	B	0.224	26		
mid	2310	fashion	kw	48	385	TS	0.333	B	0.188	23		
mid	1121	泛函	kw	48	191	O	0.958	A+B	0.542	6		
mid	3258	remediation	kw	47	324	X	0.787	B	0.128	21		
mid	4724	conversations	kw	47	202	K	0.213	B	0.064	36		
mid	1797	canada	kw	47	303	TP	0.213	B	0.277	23		
mid	2514	macroeconomic	kw	47	351	F	0.979	B	0.170	22		
mid	3257	TU4	cls	47	332	TU4	1.000	C	0.128	27		
mid	3017	assembly	kw	45	206	TP	0.422	B	0.133	27		
mid	1711	albert	kw	45	32	O	0.378	A+B	0.311	16		
mid	1295	neurology	kw	44	137	R	0.977	A+B	0.477	12		
mid	2522	party	kw	43	218	D	0.744	B	0.186	22		
mid	3663	optoelectronic	kw	41	19	TN	0.805	B	0.098	22		
mid	1909	年至	kw	41	308	K	0.366	A+B	0.293	14		
mid	1215	华图	kw	40	246	K	0.625	A	0.575	6		
mid	4123	events	kw	40	89	P	0.150	B	0.075	31		
mid	3334	connections	kw	40	288	G	0.300	B	0.125	30		
mid	3336	machinery	kw	40	301	TH	0.425	B	0.125	28		
mid	1298	mozart	kw	39	199	I	0.564	A+B	0.538	10		
mid	3674	powerful	kw	39	231	TP	0.231	B	0.103	30		
mid	1443	抒情	kw	39	29	I	0.949	A	0.462	17		
mid	1346	勘探	kw	39	261	P	0.872	A	0.513	12		
mid	842	ifip	kw	39	303	TP	0.615	B	0.974	2		
mid	2161	swift	kw	39	170	TP	0.385	B	0.256	18		
mid	1913	reinforcement	kw	38	156	TP	0.789	B	0.316	14		
mid	2332	james	kw	38	287	K	0.237	B	0.237	17		
mid	3037	evidence-based	kw	38	164	R	0.737	B	0.158	20		
mid	2797	richard	kw	38	287	K	0.316	B	0.184	20		
mid	3344	analyses	kw	38	93	O	0.211	B	0.132	25		
mid	2330	hilbert	kw	38	359	O	0.921	B	0.237	21		
mid	4141	chains	kw	37	75	O	0.351	B	0.081	26		
mid	3356	york	kw	37	303	K	0.216	B	0.135	17		
mid	4145	craft	kw	36	113	J	0.222	B	0.083	28		
mid	3061	supervision	kw	36	80	F	0.444	B	0.167	21		
mid	2808	investor	kw	36	322	F	0.917	B	0.194	18		
mid	3059	microbes	kw	36	321	Q	0.639	B	0.167	19		
mid	2810	clusters	kw	35	36	O	0.371	B	0.200	18		
mid	2017	baltimore	kw	35	359	TN	0.429	B	0.314	10		
mid	2337	prose	kw	35	237	I	0.714	B	0.257	21		
mid	3365	crash	kw	35	127	F	0.514	B	0.143	23		
mid	3699	emotional	kw	35	43	B	0.543	B	0.114	23		
mid	3379	mars	kw	34	399	P	0.265	B	0.147	21		
mid	3068	phonology	kw	34	293	H	1.000	B	0.176	17		
mid	2555	少女	kw	34	0	I	0.618	A	0.235	14		
mid	4176	enhanced	kw	33	132	TP	0.182	B	0.091	26		
mid	2817	soa	kw	33	3	TP	0.727	B	0.212	16		
mid	3721	transforms	kw	33	152	O	0.485	B	0.121	24		
mid	4735	facts	kw	32	20	F	0.188	B	0.062	27		
mid	3076	masters	kw	32	115	F	0.344	B	0.188	23		
mid	3397	honour	kw	32	351	O	0.312	B	0.156	22		
mid	3730	roots	kw	32	313	D	0.344	B	0.125	22		
mid	2566	integrals	kw	31	214	O	1.000	B	0.258	19		
mid	2822	geometrical	kw	31	214	O	0.839	B	0.226	15		
mid	3408	inclusion	kw	31	78	F	0.452	B	0.161	16		
mid	3741	biosensors	kw	30	34	TP	0.567	B	0.133	19		
mid	2348	garden	kw	30	385	I	0.233	B	0.300	12		
mid	3414	compensation	kw	30	136	F	0.533	B	0.167	18		
mid	4211	revolutionary	kw	30	89	K	0.400	B	0.100	22		
mid	3085	anesthesia	kw	30	148	R	0.967	B	0.200	17		
mid	2357	蝴蝶	kw	29	325	Q	0.414	A+B	0.310	17		
mid	3098	ppp	kw	29	145	F	1.000	B	0.207	14		
mid	3424	executive	kw	29	135	F	0.345	B	0.172	18		
mid	3422	energetic	kw	29	223	TB	0.517	B	0.172	15		
mid	3781	scales	kw	28	93	O	0.357	B	0.143	22		
mid	2181	given	kw	28	1	D	0.571	B	0.357	7		
mid	3774	fun	kw	28	109	TP	0.179	B	0.143	22		
mid	1581	jsp	kw	27	170	TP	0.630	B	0.593	5		
mid	3439	lighting	kw	27	359	TN	0.370	B	0.185	17		
mid	4762	writer	kw	26	99	I	0.385	B	0.077	21		
mid	3815	prize	kw	26	211	O	0.192	B	0.154	18		
mid	3119	movies	kw	26	268	J	0.577	B	0.231	12		
mid	4283	glasses	kw	26	46	O	0.462	B	0.115	16		
mid	3447	opencv	kw	26	121	TP	0.885	B	0.192	11		
mid	3836	ions	kw	25	36	O	0.520	B	0.160	15		
mid	2026	earthquakes	kw	25	53	P	0.760	B	0.440	7		
mid	3460	nonparametric	kw	25	11	O	0.560	B	0.200	16		
mid	3827	delivering	kw	25	129	TP	0.360	B	0.160	17		
mid	4315	roadmap	kw	25	3	TP	0.280	B	0.120	20		
low	3471	fuels	kw	24	85	TK	0.458	B	0.208	15		
low	3134	annotated	kw	24	237	I	0.250	B	0.250	17		
low	3841	alexander	kw	24	333	K	0.375	B	0.167	16		
low	3464	bacteria	kw	24	93	Q	0.667	B	0.208	17		
low	3470	deepseek	kw	24	334	TP	0.833	B	0.208	11		
low	3840	6g	kw	24	132	TN	0.875	B	0.167	12		
low	4797	subject	kw	23	313	G	0.217	B	0.087	22		
low	3858	galois	kw	23	214	O	1.000	B	0.174	16		
low	3864	wearable	kw	23	171	TP	0.565	B	0.174	17		
low	1666	语视听	kw	22	395	H	1.000	A	0.682	3		
low	2605	珊瑚	kw	22	141	Q	0.591	A	0.364	7		
low	3875	singularities	kw	22	214	O	0.818	B	0.182	18		
low	2378	tumors	kw	22	353	R	0.955	B	0.409	11		
low	4369	curvature	kw	22	214	O	0.955	B	0.136	16		
low	3873	meditations	kw	22	91	B	0.545	B	0.182	15		
low	3158	municipal	kw	22	158	X	0.591	B	0.273	17		
low	3494	brothers	kw	22	333	I	0.318	B	0.227	15		
low	2604	stocks	kw	22	322	F	0.955	B	0.364	9		
low	2600	buddhism	kw	22	62	B	0.864	B	0.364	9		
low	3159	profits	kw	22	129	F	0.727	B	0.273	10		
low	1819	korean	kw	21	184	D	0.190	A+B	0.619	8		
low	3884	daily	kw	21	268	I	0.190	B	0.190	18		
low	1586	xhtml	kw	21	231	TP	0.619	B	0.762	5		
low	4830	trap	kw	21	80	F	0.762	B	0.095	16		
low	3166	lithography	kw	21	19	TN	0.952	B	0.286	12		
low	4807	compound	kw	21	85	TN	0.524	B	0.095	15		
low	4445	noncommutative	kw	20	16	O	1.000	B	0.150	14		
low	4441	legends	kw	20	99	I	0.350	B	0.150	15		
low	3906	extinction	kw	20	53	Q	0.700	B	0.200	16		
low	4833	behavioural	kw	20	176	F	0.650	B	0.100	16		
low	4452	viral	kw	20	164	R	0.400	B	0.150	14		
low	4433	fossil	kw	20	270	Q	0.700	B	0.150	15		
low	2860	乐园	kw	20	340	I	0.700	A	0.350	12		
low	4859	born	kw	19	385	K	0.211	B	0.105	18		
low	4876	metabolic	kw	19	16	Q	0.526	B	0.105	14		
low	1824	harrison	kw	19	7	R	0.947	B	0.684	7		
low	3927	geographic	kw	19	399	P	0.421	B	0.211	14		
low	4896	accuracy	kw	18	11	TP	0.222	B	0.111	15		
low	3189	automating	kw	18	152	TP	0.778	B	0.333	8		
low	4899	advice	kw	18	176	F	0.278	B	0.111	16		
low	4920	latest	kw	18	268	TP	0.278	B	0.111	17		
low	2870	schubert	kw	18	199	I	0.500	B	0.389	5		
low	3541	fault-tolerant	kw	18	152	TP	0.778	B	0.278	12		
low	1828	forbidden	kw	18	282	K	0.667	B	0.722	6		
low	3947	elections	kw	18	89	D	0.722	B	0.222	11		
low	1934	react	kw	17	170	TN	0.588	B	0.706	6		
low	4576	naked	kw	17	14	F	0.235	B	0.176	13		
low	4941	constructions	kw	17	93	H	0.412	B	0.118	15		
low	4586	speak	kw	17	99	H	0.294	B	0.176	14		
low	4552	discover	kw	17	210	K	0.176	B	0.176	14		
low	2205	uav	kw	17	235	V	0.824	A+B	0.588	7		
low	2625	中英文对照	kw	17	222	I	0.765	A	0.471	5		
low	3563	案例剖析	kw	17	284	D	0.412	A	0.294	13		
low	4625	puzzle	kw	16	345	F	0.375	B	0.188	13		
low	4980	bee	kw	16	216	S	0.250	B	0.125	15		
low	4006	concerning	kw	16	81	B	0.375	B	0.250	13		
low	3207	tumor	kw	16	353	R	0.938	B	0.375	11		
low	4018	meaningful	kw	16	78	TP	0.312	B	0.250	11		
low	4607	dispersion	kw	16	36	O	0.500	B	0.188	12		
low	4612	gardens	kw	16	323	TU	0.375	B	0.188	10		
low	5151	predicting	kw	16	1	G	0.250	B	0.062	16		
low	2401	haydn	kw	16	199	I	0.562	A+B	0.562	3		
low	4630	sounds	kw	16	252	H	0.250	B	0.188	13		
low	3204	firewalls	kw	16	157	TP	1.000	B	0.375	7		
low	2049	百态	kw	16	363	I	0.750	A	0.688	6		
low	4060	月光	kw	15	112	I	0.933	A	0.267	9		
low	3215	longitudinal	kw	15	219	O	0.533	B	0.400	9		
low	5069	spiritual	kw	15	99	B	0.467	B	0.133	11		
low	5077	translating	kw	15	290	H	0.200	B	0.133	14		
low	4059	witch	kw	15	49	I	0.467	B	0.267	10		
low	5072	subjectivity	kw	15	140	B	0.667	B	0.133	13		
low	4665	negotiating	kw	15	129	C	0.333	B	0.200	9		
low	5042	exponential	kw	15	202	O	0.733	B	0.133	14		
low	4048	microstructures	kw	15	386	O	0.400	B	0.267	11		
low	5036	deception	kw	15	59	TP	0.200	B	0.133	14		
low	3221	现代卷	kw	15	319	K	0.200	A	0.400	6		
low	5018	C4	cls	15	302	C4	1.000	C	0.133	14		
low	3589	H2	cls	13	224	H2	1.000	C	0.385	9		
low	3228	陈从周全集	kw	13	189	Z	1.000	A	0.462	6		
low	2218	杂文卷	kw	12	40	C	0.833	A	0.833	3		
low	3594	黄帝内经	kw	12	269	R	1.000	A	0.417	4		
low	2656	periodontal	kw	9	153	R	1.000	A	0.889	2		
low	3603	海错	kw	8	242	Q	0.750	A	0.625	3		
low	3605	大教授	kw	7	390	I	0.714	A	0.714	3		
low	2912	novoland	kw	7	102	I	1.000	A	1.000	1		
low	4700	陆战队	kw	6	58	E	0.833	A	0.500	2		
low	5109	TL	cls	5	85	TL	1.000	C	0.400	4		
low	4701	大江东去	kw	5	87	I	1.000	A	0.600	3		
low	3612	春秋公羊传	kw	5	269	K	1.000	A	1.000	1		
low	4083	哲学辞典	kw	5	394	B	0.800	A	0.800	2		
low	4707	探要	kw	4	24	B	0.750	A	0.750	2		
low	4086	企业的未来	kw	4	182	F	1.000	A	1.000	1		
low	4711	人生的意义	kw	3	168	B	1.000	A	1.000	1		
low	4723	鲁迅书信	kw	3	352	I	1.000	A	1.000	1		
low	5191	TS4	cls	2	91	TS4	1.000	C	0.500	2		
low	5227	最后的故事	kw	1	208	I	1.000	A	1.000	1		
